part_id,part_name,supplier_name,module_group,main_module,module_name,torque_inf,specbook_number,specbook_filename,specbook_file_id
BIW30009145,FRONT_LONGIT_EXTN_REINF_LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30008660,CRADDLE_SUPPORT_BKT_03_REAR_LH,,BODY_IN_WHITE,UPPER_BODY,PDUC,,,,
BIW30008722,DASH_CROSS_MBR_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30008721,DASH_CROSS_MBR_LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
BIW30008705,PDU_MTG_BRACKET,,BODY_IN_WHITE,UPPER_BODY,PDUC,,,,
BLN30001494,BLANK_DC01/DX51D+Z_GI50/50_150_655_885,,,,,,,,
BIW30009006,REINFORCEMENT_D_PILLAR_LOWER_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009009,REINFORCEMENT_D_PILLAR_LOWER_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009475,PNL_QTR_INR_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30008675,PNL_QTR_INR_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BLN30001489,BLANK_CR660Y780T-CP_GI50/50_140_1020_325,,,,,,,,
BIW30009211,FRONT_HEADER,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BLN30001313,BLANK_CR300LA_GI50/50_120_1355_320,,,,,,,,
BIW30009270,FRONT_HEADER_UPPER,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009454,EXT_FRAME_FR_UPR_OTR_RR_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009280,SHOTGUN_INR_BAFFLE_FRT_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009290,FRONT_CRADDLE_SUPPORT_BKT_UPR_RH,,BODY_IN_WHITE,UPPER_BODY,PDUC,,,,
BIW30008681,FRONT_EDS_ CABLE_BRACKET,,BODY_IN_WHITE,UNDER_BODY_PAINTED,BRACKETS,,,,
BLN30000340,BLANK_DX56D_GI50/50_065_1045_415,,,,,,,,
BIW30032002,REINF_OTR_HOOD,,DOORS_AND_CLOSURES,HOOD_SYSTEM,HOOD INNER PANEL,,,,
BIW30240192,T-GATE_BELTLINE_FILLER_PLATE_RH,,DOORS_AND_CLOSURES,LIFTGATE,TAILGATE INNER ASSY,,,,
BIW30240189,T-GATE_BELTLINE_FILLER_PLATE_LH,,DOORS_AND_CLOSURES,LIFTGATE,TAILGATE INNER ASSY,,,,
BIW30009192,HEATER_SUPPORT_BRACKET,,BODY_IN_WHITE,UNDER_BODY_PAINTED,PDUC,,,,
BIW30250168,REINF_HINGE_LOW_RR_DR_RH,,DOORS_AND_CLOSURES,DOOR_REAR,NUT_PLATE_HINGE_DR,,,,
BIW30250167,REINF_HINGE_LOW_RR_DR_LH,,DOORS_AND_CLOSURES,DOOR_REAR,NUT_PLATE_HINGE_DR,,,,
BIW30250152,BRACKET_IMPACT_FRONT_RR_DR_RH,,DOORS_AND_CLOSURES,DOOR_REAR,REAR DOOR IMPACT BEAM ASSY RH,,,,
BIW30250151,BRACKET_IMPACT_FRONT_RR_DR_LH,,DOORS_AND_CLOSURES,DOOR_REAR,REAR DOOR IMPACT BEAM ASSY LH,,,,
BIW30009212,COMPRESSOR_BRACKET,,BODY_IN_WHITE,UNDER_BODY_PAINTED,PDUC,,,,
BIW30009520,PANEL_SIDE_BODY_UP_INNER_RH,,,,,,,,
BIW30009519,PANEL_SIDE_BODY_UP_INNER_LH,,,,,,,,
BIW30009010,REINF_GATE_PLR_UPR_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009007,REINF_GATE_PLR_UPR_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009258,REINF_TAILGATE_HINGE_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009257,REINF_TAILGATE_HINGE_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009144,EXT_QTR_INR_UPR_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30008700,EXT_QTR_INR_UPR_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009325,CROSS_MEMBER_HV_HEATER_MTG,,BODY_IN_WHITE,UNDER_BODY_PAINTED,PDUC,,,,
CHS30019178,TIRE_PLATEN_BRACKET,,VEHICLE_COMPLETE,WHEELS/TIRES,WHEELS,,,,
BIW30009073,REINFORCEMENT_TUNNEL_UPPER_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BIW30009072,REINFORCEMENT_TUNNEL_UPPER_LH,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BLN30001541,BLANK_CR440Y780T- DP_GI50/50_160_280_720,,,,,,,,
BIW30009500,CRASH_BOX_UPR_RH,,BODY_IN_WHITE,UNDER_BODY,CMS_FRONT,,,,
BLN30001542,BLANK_CR440Y780T- DP_GI50/50_180_655_290,,,,,,,,
BIW30009502,CRASH_BOX_LWR_RH,,BODY_IN_WHITE,UNDER_BODY,CMS_FRONT,,,,
BIW30008668,BRACKET_ECU_LOWER_SUPPORT,,BODY_IN_WHITE,UNDER_BODY_PAINTED,BRACKETS,,,,
BIW30008412,BRACKET_DASH_HARNESS,,BODY_IN_WHITE,UNDER_BODY_PAINTED,BRACKETS,,,,
BIW30210162,BRACKET_FR_DR_B_PILLAR_LOW_RH,,DOORS_AND_CLOSURES,DOOR_FRONT,FRONT DOOR INNER 3RD SUB ASSY RH,,,,
BIW30210161,BRACKET_FR_DR_B_PILLAR_LOW_LH,,DOORS_AND_CLOSURES,DOOR_FRONT,FRONT DOOR INNER 2ND SUB ASSY LH,,,,
BIW30250182,REINF_WINDOW_FRAME_RR_DR_RH,,DOORS_AND_CLOSURES,DOOR_REAR,REAR DOOR INNER 3TH SUB ASSY RH,,,,
BIW30008891,FRONT_CRASH_CAN_MTG_PLATE_RH,,BODY_IN_WHITE,UNDER_BODY,CMS_FRONT,,,,
BIW30008796,FRT_CRASH_CAN_ADDITION_REINF,,BODY_IN_WHITE,UNDER_BODY,CMS_FRONT,,,,
BIW30008184,LONGIT_FRONT_OTR_RR_LWR_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
